Age,Gender,Education Level,Job Title,Years of Experience,Salary
28,Male,Bachelors,Technical Support Specialist,2,40000
42,Female,Masters,Creative Director,14,120000
37,Male,Bachelors,Project Manager,10,95000
50,Female,Bachelors,Operations Manager,22,160000
32,Male,Masters,Senior Software Engineer,6,100000
48,Female,Masters,Human Resources Director,20,180000
30,Female,Bachelors,Content Marketing Manager,3,55000
36,Male,Bachelors,Technical Recruiter,8,70000
41,Female,Masters,Data Analyst,13,80000
25,Male,Bachelors,Sales Representative,,30000
52,Male,PHD,Chief Technology Officer,24,250000
29,Female,Bachelors,Junior Designer,2,40000
34,Female,Masters,Financial Advisor,10,95000
27,Male,Bachelors,Junior Account Manager,2,45000
40,Female,Bachelors,HR Generalist,15,80000
46,Male,Masters,Senior Project Manager,21,135000
31,Female,Bachelors,Marketing Coordinator,6,55000
36,Male,PHD,Principal Scientist,11,120000
29,Female,Bachelors,Sales Associate,3,40000
43,Male,Bachelors,Supply Chain Manager,18,105000
52,Female,Masters,Senior Marketing Manager,25,170000
33,Male,Bachelors,Business Analyst,7,75000
39,Female,Bachelors,Training Specialist,12,65000
47,Male,PHD,Research Scientist,22,160000
26,Male,Bachelors,Junior Software Developer,1,35000
38,Female,Masters,Public Relations Manager,10,90000
45,Male,Bachelors,Operations Analyst,20,110000
31,Female,Bachelors,Event Coordinator,5,45000
35,Male,Masters,Product Marketing Manager,8,95000
49,Female,Masters,Senior HR Manager,19,150000
33,Male,Bachelors,Junior Web Developer,5,50000
39,Female,Masters,Senior Project Coordinator,13,80000
44,Male,PHD,Chief Data Officer,16,220000
30,Female,Bachelors,Digital Content Producer,3,50000
36,Male,Bachelors,IT Support Specialist,7,60000
41,Female,Masters,Senior Marketing Analyst,14,100000
28,Male,Bachelors,Customer Success Manager,2,40000
42,Female,Masters,Senior Graphic Designer,15,110000
37,Male,Bachelors,Software Project Manager,9,95000
50,Female,Bachelors,Supply Chain Analyst,22,130000
32,Male,Masters,Senior Business Analyst,6,90000
23,Female,Bachelors,Junior Marketing Analyst,0.5,35000
31,Male,Masters,Senior Financial Analyst,6,95000
40,Female,Bachelors,Office Manager,15,65000
48,Male,PHD,Principal Engineer,20,170000
29,Female,Bachelors,Junior HR Generalist,3,45000
35,Male,Masters,Senior Product Manager,10,120000
42,Female,Bachelors,Sales Manager,17,100000
53,Male,Masters,Director of Marketing,25,180000
33,Female,Bachelors,Junior Operations Analyst,5,50000
38,Male,Bachelors,Customer Service Manager,11,80000
44,Female,PHD,Senior Scientist,16,140000
26,Male,Bachelors,Junior Accountant,2,40000
37,Female,Masters,Senior HR Generalist,9,95000
45,Male,Bachelors,Sales Operations Manager,18,110000
32,Female,Bachelors,Marketing Coordinator,4,50000
34,Male,Masters,Senior Software Developer,8,105000
50,Female,Masters,Director of Operations,21,160000
29,Male,Bachelors,Junior Web Designer,3,45000
40,Female,Masters,Senior Training Specialist,12,100000
47,Male,PHD,Senior Research Scientist,22,160000
27,Male,Bachelors,Junior Sales Representative,1,35000
39,Female,Bachelors,Administrative Assistant,10,55000
46,Male,Masters,Senior Project Manager,19,140000
30,Female,Bachelors,Junior Marketing Manager,4,50000
36,Male,Bachelors,Junior Data Analyst,7,60000
43,Female,Masters,Senior Product Marketing Manager,14,120000
28,Male,Bachelors,Junior Business Analyst,2,40000
41,Female,Masters,Senior Marketing Manager,13,110000
33,Male,Bachelors,Junior Software Developer,5,50000
47,Male,Bachelors,Senior Sales Manager,20,135000
25,Female,Masters,Junior Marketing Specialist,1.5,40000
34,Male,Bachelors,Senior Business Analyst,8,90000
42,Female,PHD,Senior Data Scientist,16,150000
31,Male,Bachelors,Junior Project Manager,4,60000
38,Female,Bachelors,Senior Accountant,10,80000
45,Male,Masters,Director of Sales,19,175000
29,Female,Bachelors,Junior Recruiter,3,45000
36,Male,Masters,Senior Business Development Manager,11,120000
43,Female,PHD,Senior Product Designer,18,140000
26,Male,Bachelors,Junior Customer Support Specialist,2,35000
37,Female,Masters,Senior Marketing Analyst,9,95000
44,Male,Bachelors,Senior IT Support Specialist,14,110000
32,Female,Bachelors,Junior Financial Analyst,5,50000
33,Male,Masters,Senior Operations Manager,7,115000
51,Female,PHD,Director of Human Resources,23,185000
28,Male,Bachelors,Junior Software Engineer,2,40000
39,Female,Bachelors,Senior Sales Representative,12,90000
48,Male,Masters,Director of Product Management,21,175000
30,Female,Bachelors,Junior Copywriter,3,45000
35,Male,Bachelors,Senior Marketing Coordinator,7,80000
41,Female,Masters,Senior Human Resources Manager,13,120000
27,Male,Bachelors,Junior Business Development Associate,1.5,35000
40,Female,Bachelors,Senior Account Manager,14,110000
46,Male,PHD,Senior Researcher,18,150000
31,Female,Bachelors,Junior HR Coordinator,4,50000
34,Male,Masters,Senior Software Engineer,9,105000
50,Female,Masters,Director of Finance,20,180000
29,Male,Bachelors,Junior Marketing Coordinator,2,40000
43,Male,Bachelors,Senior Project Manager,16,140000
26,Female,Masters,Junior Data Scientist,1.5,45000
35,Male,Bachelors,Senior Operations Analyst,7,85000
42,Female,PHD,Senior Marketing Manager,18,140000
31,Male,Bachelors,Junior Accountant,4,50000
38,Female,Bachelors,Senior Human Resources Coordinator,10,80000
46,Male,Masters,Director of Operations,20,170000
29,Female,Bachelors,Junior Sales Representative,2,40000
37,Male,Masters,Senior Business Analyst,9,105000
44,Female,PHD,Senior UX Designer,15,145000
27,Male,Bachelors,Junior Product Manager,2,40000
36,Female,Bachelors,Senior Marketing Specialist,8,85000
43,Male,Bachelors,Senior IT Project Manager,14,130000
33,Female,Masters,Senior Financial Analyst,6,95000
34,Male,Bachelors,Senior Quality Assurance Analyst,9,100000
50,Female,PHD,Director of Sales and Marketing,22,180000
28,Male,Bachelors,Junior Operations Analyst,1.5,35000
39,Female,Bachelors,Senior Account Executive,12,95000
47,Male,Masters,Director of Business Development,19,170000
30,Female,Bachelors,Junior Social Media Manager,3,45000
34,Male,Bachelors,Senior Product Manager,7,95000
40,Female,Masters,Senior Human Resources Specialist,13,120000
28,Male,Bachelors,Junior Business Analyst,2,40000
41,Female,Bachelors,Senior Marketing Coordinator,11,90000
45,Male,PHD,Senior Data Analyst,17,155000
32,Female,Bachelors,Junior Account Manager,5,55000
35,Male,Masters,Senior Software Developer,9,110000
49,Female,Masters,Director of Human Capital,21,180000
30,Male,Bachelors,Junior Advertising Coordinator,3,45000
44,Male,Bachelors,Senior Sales Manager,16,130000
27,Female,Masters,Junior UX Designer,1.5,45000
36,Male,Bachelors,Senior Accountant,7,90000
41,Female,PHD,Senior Marketing Director,17,160000
31,Male,Bachelors,Junior HR Generalist,4,50000
39,Female,Bachelors,Senior Operations Manager,10,120000
47,Male,Masters,Director of Finance,20,170000
30,Female,Bachelors,Junior Marketing Coordinator,2,40000
38,Male,Masters,Senior IT Consultant,9,110000
45,Female,PHD,Senior Product Designer,15,150000
28,Male,Bachelors,Junior Business Development Associate,2,40000
35,Female,Bachelors,Senior Marketing Analyst,8,85000
44,Male,Bachelors,Senior Software Engineer,14,130000
34,Female,Masters,Senior Financial Advisor,6,100000
35,Male,Bachelors,Senior Project Coordinator,9,95000
50,Female,PHD,Director of Operations,22,180000
29,Male,Bachelors,Junior Business Operations Analyst,1.5,35000
40,Female,Bachelors,Senior Sales Representative,12,100000
48,Male,Masters,Director of Marketing,19,170000
31,Female,Bachelors,Junior Social Media Specialist,3,45000
33,Male,Bachelors,Senior Product Development Manager,7,100000
42,Female,Masters,Senior Human Resources Manager,13,140000
28,Male,Bachelors,Junior Financial Analyst,2,40000
40,Female,Bachelors,Senior Marketing Manager,11,105000
46,Male,PHD,Senior Data Scientist,18,160000
33,Female,Bachelors,Junior Operations Manager,5,70000
37,Male,Masters,Senior Software Architect,9,120000
51,Female,Masters,Director of Human Resources,21,190000
30,Male,Bachelors,Junior Marketing Specialist,3,45000
43,Male,Bachelors,Senior Project Manager,15,120000
27,Female,Masters,Junior Research Scientist,1.5,50000
35,Male,Bachelors,Senior Operations Analyst,8,85000
42,Female,PHD,Senior Marketing Manager,13,140000
32,Male,Bachelors,Junior Sales Representative,3,45000
37,Female,Bachelors,Senior Financial Analyst,9,100000
45,Male,Masters,Senior Software Developer,16,140000
33,Female,Bachelors,Junior Operations Analyst,5,70000
39,Male,Bachelors,Senior Marketing Specialist,10,120000
44,Female,PHD,Senior HR Manager,18,160000
29,Male,Bachelors,Junior Business Analyst,1.5,40000
38,Female,Bachelors,Senior Product Manager,10,120000
46,Male,PHD,Senior Data Analyst,19,150000
34,Female,Bachelors,Junior Marketing Analyst,6,70000
36,Male,Bachelors,Senior Operations Manager,8,95000
49,Female,Masters,Director of Marketing,21,180000
31,Male,Bachelors,Junior Financial Analyst,3,50000
41,Female,Bachelors,Senior Project Coordinator,11,95000
47,Male,Masters,Director of Operations,20,170000
30,Female,Bachelors,Junior Marketing Coordinator,2,40000
38,Male,Masters,Senior IT Consultant,9,110000
45,Female,PHD,Senior Product Designer,15,150000
28,Male,Bachelors,Junior Business Development Associate,2,40000
35,Female,Bachelors,Senior Marketing Analyst,8,85000
44,Male,Bachelors,Senior Software Engineer,14,130000
34,Female,Masters,Senior Financial Advisor,6,100000
35,Male,Bachelors,Senior Project Coordinator,9,95000
50,Female,PHD,Director of Operations,22,180000
29,Male,Bachelors,Junior Business Operations Analyst,1.5,350
37,Female,Bachelors,Senior Financial Manager,10,120000
46,Male,PHD,Senior Data Scientist,18,160000
31,Female,Bachelors,Junior Marketing Coordinator,3,50000
42,Male,Bachelors,Senior Operations Manager,12,110000
29,Female,Bachelors,Junior Sales Representative,1.5,40000
36,Male,Bachelors,Senior Marketing Specialist,8,95000
44,Female,Masters,Senior HR Specialist,15,140000
33,Male,Bachelors,Junior Operations Manager,4,60000
39,Female,Bachelors,Senior Marketing Coordinator,9,110000
45,Male,PHD,Senior Data Engineer,16,150000
32,Female,Bachelors,Junior Marketing Manager,4,60000
37,Male,Bachelors,Senior Financial Analyst,8,90000
47,Female,Masters,Director of Marketing,20,180000
30,Male,Bachelors,Junior Business Analyst,2,40000
38,Female,Bachelors,Senior Project Manager,9,120000
46,Male,PHD,Senior Data Analyst,17,160000
34,Female,Bachelors,Junior Financial Analyst,5,70000
36,Male,Bachelors,Senior Product Manager,8,95000
49,Female,Masters,Director of Operations,21,180000
31,Male,Bachelors,Junior Operations Analyst,3,50000
41,Female,Bachelors,Senior Project Coordinator,11,95000
47,Male,Masters,Director of Marketing,19,170000
29,Female,Bachelors,Junior Business Development Associate,1.5,35000
35,Male,Bachelors,Senior Financial Manager,9,100000
44,Female,PHD,Senior Product Designer,15,150000
33,Male,Bachelors,Junior Business Analyst,4,60000
35,Female,Bachelors,Senior Marketing Analyst,8,85000
44,Male,Bachelors,Senior Software Engineer,13,130000
32,Male,Bachelors,Junior Product Manager,4,65000
38,Female,Bachelors,Senior Business Analyst,10,110000
49,Male,PHD,Director of Operations,21,180000
29,Female,Bachelors,Junior Marketing Specialist,2,40000
35,Male,Bachelors,Senior Business Development Manager,7,90000
45,Female,Masters,Senior HR Manager,14,140000
33,Male,Bachelors,Junior Financial Analyst,4,60000
40,Female,Bachelors,Senior Marketing Manager,12,130000
44,Male,PHD,Senior Data Scientist,16,160000
30,Female,Bachelors,Junior Operations Coordinator,2,40000
37,Male,Bachelors,Senior Marketing Analyst,9,100000
48,Female,Masters,Director of HR,20,180000
31,Male,Bachelors,Junior Project Manager,3,55000
38,Female,Bachelors,Senior Operations Coordinator,9,120000
45,Male,PHD,Senior Data Engineer,16,150000
33,Female,Bachelors,Junior Marketing Manager,5,70000
36,Male,Bachelors,Senior Business Analyst,8,95000
49,Female,Masters,Director of Marketing,21,180000
31,Male,Bachelors,Junior Operations Analyst,3,50000
42,Female,Bachelors,Senior Project Manager,12,120000
47,Male,Masters,Director of Marketing,19,170000
29,Female,Bachelors,Junior Business Development Associate,1.5,35000
35,Male,Bachelors,Senior Financial Manager,9,100000
44,Female,PHD,Senior Product Designer,15,150000
33,Male,Bachelors,Junior Business Analyst,4,60000
35,Female,Bachelors,Senior Marketing Analyst,8,85000
44,Male,Bachelors,Senior Software Engineer,13,130000
34,Female,Masters,Senior Financial Advisor,6,80000
36,Male,Bachelors,Senior Marketing Specialist,8,95000
30,Female,Bachelors,Junior HR Coordinator,2,40000
37,Male,Bachelors,Senior Business Development Manager,10,120000
45,Female,Masters,Senior Marketing Manager,16,160000
32,Male,Bachelors,Junior Financial Advisor,4,65000
39,Female,Bachelors,Senior Project Manager,12,130000
47,Male,PHD,Director of Engineering,20,180000
29,Female,Bachelors,Junior Marketing Analyst,2,40000
36,Male,Bachelors,Senior Operations Manager,9,100000
43,Female,PHD,Senior Data Scientist,15,150000
32,Male,Bachelors,Junior Marketing Coordinator,3,55000
38,Female,Bachelors,Senior Business Analyst,10,110000
48,Male,Masters,Director of Marketing,21,180000
31,Female,Bachelors,Junior Business Development Associate,3,50000
40,Male,Bachelors,Senior Financial Analyst,12,130000
45,Female,PHD,Senior UX Designer,16,160000
33,Male,Bachelors,Junior Product Manager,4,60000
36,Female,Bachelors,Senior Marketing Manager,8,95000
47,Male,Masters,Director of Operations,19,170000
29,Female,Bachelors,Junior Project Manager,2,40000
34,Male,Bachelors,Senior Operations Coordinator,7,90000
44,Female,PHD,Senior Business Analyst,15,150000
33,Male,Bachelors,Junior Marketing Specialist,5,70000
35,Female,Bachelors,Senior Financial Manager,8,90000
43,Male,Masters,Director of Marketing,18,170000
31,Female,Bachelors,Junior Financial Analyst,3,50000
41,Male,Bachelors,Senior Product Manager,14,150000
44,Female,PHD,Senior Data Engineer,16,160000
33,Male,Bachelors,Junior Business Analyst,4,60000
35,Female,Bachelors,Senior Marketing Analyst,8,85000
45,Male,Masters,Director of Engineering,19,180000
28,Female,Bachelors,Junior Operations Manager,1,35000
36,Male,Bachelors,Senior Business Development Manager,8,110000
44,Female,PHD,Senior Data Scientist,16,160000
31,Male,Bachelors,Junior Marketing Coordinator,3,55000
38,Female,Bachelors,Senior Business Analyst,10,110000
48,Male,Masters,Director of Marketing,21,180000
31,Female,Bachelors,Junior Business Development Associate,3,50000
40,Male,Bachelors,Senior Financial Analyst,12,130000
45,Female,PHD,Senior UX Designer,16,160000
33,Male,Bachelors,Junior Product Manager,4,60000
36,Female,Bachelors,Senior Marketing Manager,8,95000
47,Male,Masters,Director of Operations,19,170000
29,Female,Bachelors,Junior Project Manager,2,40000
34,Male,Bachelors,Senior Operations Coordinator,7,90000
44,Female,PHD,Senior Business Analyst,15,150000
33,Male,Bachelors,Junior Marketing Specialist,5,70000
35,Female,Bachelors,Senior Financial Manager,8,90000
43,Male,Masters,Director of Marketing,18,170000
31,Female,Bachelors,Junior Financial Analyst,3,50000
41,Male,Bachelors,Senior Product Manager,14,150000
44,Female,PHD,Senior Data Engineer,16,160000
33,Male,Bachelors,Junior Business Analyst,4,60000
35,Female,Bachelors,Senior Marketing Analyst,8,85000
43,Male,Masters,Director of Operations,19,170000
29,Female,Bachelors,Junior Project Manager,2,40000
34,Male,Bachelors,Senior Operations Coordinator,7,90000
44,Female,PHD,Senior Business Analyst,15,150000
